hex,built,capacity_cph
872748413ffffff,0,0
8727484adffffff,0,0
8727484a9ffffff,0,0
872748556ffffff,0,0
872748423ffffff,0,0
872748404ffffff,0,0
872748415ffffff,0,0
872748555ffffff,0,0
872748542ffffff,0,0
872748540ffffff,0,0
872748545ffffff,0,0
87274856effffff,0,0
872748568ffffff,0,0
87274856cffffff,0,0
87274856dffffff,0,0
87274819effffff,0,0
87274819cffffff,0,0
872748183ffffff,0,0
872748181ffffff,0,0
8727481aaffffff,0,0
8727481aeffffff,0,0
8727481acffffff,0,0
8727481adffffff,0,0
872748113ffffff,0,0
87274811effffff,0,0
87274811cffffff,0,0
872748103ffffff,0,0
87274810effffff,0,0
872748101ffffff,0,0
87274812affffff,0,0
87274812bffffff,0,0
872748129ffffff,0,0
8727488daffffff,0,0
8727488d8ffffff,0,0
8727488ddffffff,0,0
8727488caffffff,0,0
8727488ceffffff,0,0
8727488c8ffffff,0,0
8727488cdffffff,0,0
872748bb6ffffff,0,0
872748bb4ffffff,0,0
872748bb5ffffff,0,0
872748ba6ffffff,0,0
872748ba0ffffff,0,0
872748ba5ffffff,0,0
872748b16ffffff,0,0
872748b10ffffff,0,0
872748b11ffffff,0,0
872748b1cffffff,0,0
872748b03ffffff,0,0
872748b0effffff,0,0
872748b0cffffff,0,0
872748b2bffffff,0,0
872748b76ffffff,0,0
872748b74ffffff,0,0
87274d4daffffff,0,0
87274d4dbffffff,0,0
87274d4d8ffffff,0,0
87274d4d9ffffff,0,0
87274d4ddffffff,0,0
87274d4ceffffff,0,0
87274d4c8ffffff,0,0
87274d4c9ffffff,0,0
87274d4cdffffff,0,0
87274d7b2ffffff,0,0
87274d7b0ffffff,0,0
87274d7b1ffffff,0,0
87274d7a2ffffff,0,0
87274d7a0ffffff,0,0
87274d7a4ffffff,0,0
87274d44bffffff,0,0
87274d449ffffff,0,0
87274d732ffffff,0,0
87274d736ffffff,0,0
87274d734ffffff,0,0
87274d09bffffff,0,0
87274d098ffffff,0,0
87274d099ffffff,0,0
87274d09dffffff,0,0
87274d08effffff,0,0
87274d081ffffff,1,1
87274d0aaffffff,0,0
87274d0a8ffffff,0,0
87274d0acffffff,0,0
87274d013ffffff,0,0
87274d010ffffff,0,0
87274d015ffffff,0,0
87274d033ffffff,0,0
87274d006ffffff,0,0
87274d031ffffff,0,0
87274d004ffffff,0,0
87274d023ffffff,0,0
87274d021ffffff,0,0
87274d152ffffff,0,0
87274d150ffffff,0,0
87274d155ffffff,0,0
87274d173ffffff,0,0
87274d146ffffff,0,0
87274d171ffffff,0,0
87274d162ffffff,0,0
87274d166ffffff,0,0
87274d160ffffff,0,0
87274d164ffffff,0,0
87274d165ffffff,0,0
87274d8cbffffff,0,0
87274db96ffffff,0,0
87274db94ffffff,0,0
87274dbb3ffffff,0,0
87274db86ffffff,0,0
87274dbb1ffffff,0,0
87274db84ffffff,0,0
87274dba2ffffff,0,0
87274dba3ffffff,0,0
87274dba0ffffff,0,0
87274dba1ffffff,0,0
87274dba5ffffff,0,0
87274db16ffffff,0,0
87274db10ffffff,0,0
87274db15ffffff,0,0
87274db11ffffff,0,0
87274db1cffffff,0,0
87274db18ffffff,0,0
87274db1bffffff,0,0
87274da26ffffff,0,0
87274da22ffffff,0,0
87274da04ffffff,0,0
87274da23ffffff,0,0
87274da05ffffff,0,0
87274da2affffff,0,0
87274da2bffffff,0,0
87274da0dffffff,0,0
87274da76ffffff,0,0
87274da72ffffff,0,0
87274da73ffffff,0,0
87274da55ffffff,0,0
87274da51ffffff,0,0
87274da5cffffff,0,0
87274da58ffffff,0,0
87274da5bffffff,0,0
87274da5affffff,0,0
87274daedffffff,0,0
87274dae9ffffff,0,0
87274dae8ffffff,0,0
87274daeeffffff,0,0
87274dac5ffffff,0,0
87274dac4ffffff,0,0
87274dac6ffffff,0,0
87274dad5ffffff,0,0
87274dad0ffffff,0,0
87274dad4ffffff,0,0
87274dad6ffffff,0,0
87274da89ffffff,0,0
87274da8bffffff,0,0
87274da88ffffff,0,0
87274da8affffff,0,0
87274da8effffff,0,0
87274da9dffffff,0,0
87274da83ffffff,0,0
87274da95ffffff,0,0
87274dab3ffffff,0,0
87274da94ffffff,0,0
87274dab2ffffff,0,0
87274d149ffffff,0,0
87274d148ffffff,0,0
87274d14effffff,0,0
87274d143ffffff,0,0
87274d15cffffff,0,0
87274d15dffffff,0,0
87274d159ffffff,0,0
87274d15bffffff,0,0
87274d066ffffff,0,0
87274d062ffffff,0,0
87274d063ffffff,0,0
87274d045ffffff,0,0
87274d06affffff,0,0
87274d041ffffff,0,0
87274d04cffffff,0,0
87274d04effffff,0,0
87274d048ffffff,0,0
87274d04affffff,0,0
87274d3a4ffffff,0,0
87274d3a5ffffff,0,0
87274d3a1ffffff,0,0
87274d3acffffff,0,0
87274d3a8ffffff,0,0
87274d3abffffff,0,0
87274d236ffffff,0,0
87274d38dffffff,0,0
87274d38cffffff,0,0
87274d388ffffff,0,0
87274d38effffff,0,0
87274d39dffffff,0,0
87274d398ffffff,0,0
87274d39bffffff,0,0
87274d39affffff,0,0
87274d769ffffff,0,0
87274d76bffffff,0,0
87274d74cffffff,0,0
87274d76affffff,0,0
87274d741ffffff,0,0
87274d740ffffff,0,0
87274d742ffffff,0,0
87274d751ffffff,0,0
87274d750ffffff,0,0
87274d753ffffff,0,0
87274d752ffffff,0,0
